"genus","species","kingdomKey","X2001_2019_change_index_mu","X2001_Land_Cover_mu","X2004_Land_Cover_mu","X2006_Land_Cover_mu","X2008_Land_Cover_mu","X2011_Land_Cover_mu","X2013_Land_Cover_mu","X2016_Land_Cover_mu","X2019_Land_Cover_mu","slope_mu","roundedSRank_mu","roundedNRank_mu","roundedGRank_mu","UID_mu","lat_mu","lon_mu","maxlat_mu","minlat_mu","maxlon_mu","minlon_mu","simple_status_mu","X2001_2019_change_index_sig","X2001_Land_Cover_sig","X2004_Land_Cover_sig","X2006_Land_Cover_sig","X2008_Land_Cover_sig","X2011_Land_Cover_sig","X2013_Land_Cover_sig","X2016_Land_Cover_sig","X2019_Land_Cover_sig","slope_sig","roundedSRank_sig","roundedNRank_sig","roundedGRank_sig","UID_sig","lat_sig","lon_sig","maxlat_sig","minlat_sig","maxlon_sig","minlon_sig","simple_status_sig","Random_Pred"
"Carex","bullata",6,"1","90","90","90","90","90","90","90","90",2.42437410072048e+33,"S3","N5","G5","64377",1672584.19437142,1932774.98620741,1767753.22006531,1623916.51679741,1977052.48469682,1865253.99097597,"threatened",3,5,5,5,5,5,6,5,5,8.39827823800396e+33,1,1,1,12,55182.4610170958,28225.3381534524,0,0,0,0,1,0.0307728773914278
"Carex","canescens",6,"1","90","90","90","90","90","90","90","90",0.529730578415034,"S4","NNR","G5","64008",1642330.50817455,1933957.41506986,1756649.13954799,1411272.39073431,2007734.77794867,1855810.99345059,"secure",2,3,3,3,3,3,4,3,3,0.384464940333154,1,1,1,12,117525.990669944,48609.475293413,0,0,0,0,1,0.49431093945168
"Carex","careyana",6,"1","41","41","41","41","41","41","41","41",1.22774340211327,"S1","NNR","G4","66127",1516903.56807328,1996553.35240218,1517244.09336043,1516730.59810415,1996732.76007777,1996202.41788312,"threatened",1,2,2,2,2,2,2,2,2,0,1,1,1,3,294.915976175416,303.943751999949,0,0,0,0,1,0.734824589686468
"Carex","collinsii",6,"1","43","90","90","90","90","90","90","43",0.325182062832879,"S4","NNR","G4","63708",1689621.95935287,1902052.55774741,1766201.02052962,1631100.37391806,1930853.32386285,1883865.71624252,"secure",2,8,7,7,7,7,7,7,7,0.305385463581863,1,1,1,11,57003.7603504224,16837.41842645,0,0,0,0,1,0.190680700121447
"Carex","complanata",6,"1","90","21","90","90","21","21","21","21",0.278035910047555,"S5","N5","G5","68752",1717681.41676336,1915265.42018187,1776775.1688167,1598236.0476727,2020190.95209647,1865073.97325819,"secure",2,7,7,7,7,7,7,7,7,0.387221811389148,1,1,1,29,51670.1953807942,30841.9725980813,0,0,0,0,1,0.901638625888154
"Carex","conjuncta",6,"1","11","41","11","41","11","11","11","41",1.52410908764795,"S4","NNR","G4","65860",1633844.45593016,1973729.62380489,1677235.41586417,1576324.31433848,2018985.01166604,1930974.7278941,"secure",1,4,4,4,4,4,4,4,4,1.12187350622436,1,1,1,6,39802.6504799592,37588.9628597046,0,0,0,0,1,0.409348162356764
"Carex","conoidea",6,"7","82","41","41","41","41","41","41","41",0.244488466203901,"S1","N5","G5","68919",1683885.28622099,2032495.35168944,1683885.37274391,1683885.24295952,2032497.66174162,2032494.19666335,"threatened",1,1,1,1,1,1,1,1,1,0,1,1,1,3,0.0749310528282435,2.00056387238716,0,0,0,0,1,0.688678762177005
"Carex","gigantea",6,"1","90","90","90","90","90","90","90","90",4.15606988694939e+33,"S3","N4","G4","68629",1721778.16087766,1965392.45944062,1731261.09511445,1714844.71915161,1989459.78333374,1932982.32800852,"threatened",1,2,2,2,2,2,2,2,2,1.09959273522724e+34,1,1,1,7,6838.98756341608,24461.6076330607,0,0,0,0,1,0.169905041111633
"Carex","granularis",6,"1","90","90","21","21","21","21","21","21",1.58778313734605,"S4","NNR","G5","69526",1547218.7382902,1950038.97769666,1638174.27985853,1410042.9175933,1972483.82197025,1912686.27388347,"secure",2,4,4,4,4,4,4,4,4,1.37370903992451,1,1,1,7,108582.769107043,20338.8233754226,0,0,0,0,1,0.11307486705482
"Carex","grayi",6,"1","90","90","90","90","90","90","90","90",1.08313237803548,"S4","N4","G4","46176",1625316.35897614,1952570.21823562,1717607.43097176,1441505.36067233,2024422.22999576,1905412.63568177,"secure",2,10,11,10,10,10,10,10,10,0.800230759109199,1,1,1,60,44992.1924026915,31114.6547767003,0,0,0,0,1,0.0123282426502556
