Family	Family	Tribe	Genus	Subgenus	 species	Science.name	Full.name	Authority	Recorded.states	Status	Season	Host.Plant	Lecty
Apidae	Apinae		Melissodes	Apomelissodes	 fimbriatus	Melissodes fimbriatus	Melissodes (Apomelissodes) fimbriatus	"Cresson, 1878"	VA	Rare	Summer	Oenothera L.	oligo
Apidae	Apinae		Melissodes	Eumelissodes	 fumosus	Melissodes fumosus	Melissodes (Eumelissodes) fumosus	"LaBerge, 1961"	MD-VA	Rare	Fall	"Asteraceae, e.g. Solidago L."	poly
Apidae	Apinae		Melissodes	Eumelissodes	 illatus	Melissodes illatus	Melissodes (Eumelissodes) illatus	"Lovell and Cockerell, 1906"	ME-NY-WV	Uncommon	Fall	Asteraceae	poly
Apidae	Apinae		Melissodes	Eumelissodes	 niveus	Melissodes niveus	Melissodes (Eumelissodes) niveus	"Robertson, 1895"	MD-NJ-NY-VA	Uncommon	Fall	Asteraceae	poly
Apidae	Apinae		Melissodes	Eumelissodes	 subillatus	Melissodes subillatus	Melissodes (Eumelissodes) subillatus	"LaBerge, 1961"	CT-DE-MA-MD-ME-NJ-NY-PA-VA-WV	Uncommon	Fall	Asteraceae	poly
Apidae	Apinae		Melissodes	Eumelissodes	 trinodis	Melissodes trinodis	Melissodes (Eumelissodes) trinodis	"Robertson, 1901"	CT-DE-MA-MD-ME-NJ-NY-RI-VA-VT	Uncommon	Fall	"Asteraceae, e.g. Helianthus L."	poly
Apidae	Apinae	Eucerini	Peponapis	Peponapis	 pruinosa	Peponapis pruinosa	Peponapis (Peponapis) pruinosa	"(Say, 1837)"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common	Summer	Cucurbita L.	oligo
Apidae	Apinae	Eucerini	Svastra	Anthedonia	 compta	Svastra compta	Svastra (Anthedonia) compta	"(Cresson, 1878)"	MD-NJ-PA	Uncommon	Summer	Oenothera L.	oligo
Apidae	Apinae		Svastra	Epimelissodes	 obliqua	Svastra obliqua	Svastra (Epimelissodes) obliqua	"(Say, 1837)"	DE-MD-NJ-NY-VA	Uncommon	Summer	Asteraceae	poly
Apidae	Apinae		Svastra	Epimelissodes	 petulca	Svastra petulca	Svastra (Epimelissodes) petulca	"(Cresson, 1878)"	NJ	Rare	Summer	"Asteraceae, e.g. Heliantheae"	poly
Apidae	Apinae	Eucerini	Xenoglossa	Eoxenoglossa	 strenua	Xenoglossa strenua	Xenoglossa (Eoxenoglossa) strenua	"(Cresson, 1878)"	MD-VA	Uncommon	Summer	Cucurbita L.	oligo
Apidae	Apinae	Exomalopsini	Anthophorula	Anthophorisca	 micheneri	Anthophorula micheneri	Anthophorula (Anthophorisca) micheneri	"Timberlake, 1948"	VA	Rare	Fall	Agalinis Raf.	oligo
Colletidae			Colletes		aestivalis	Colletesaestivalis	Colletes aestivalis	"Patton, 1879"	DE-MA-MD-NY-VA	Rare	Summer	Heuchera L.	oligo
Colletidae			Colletes		americanus	Colletesamericanus	Colletes americanus	"Cresson, 1868"	CT-MA-MD-ME-NH-NJ-NY-PA-VA-WV	Common-Uncommon	Fall	"Asteraceae, e.g. Astereae"	poly
Colletidae			Colletes		banksi	Colletesbanksi	Colletes banksi	"Swenk, 1908"	CT-NJ-NY-VA	Rare	Summer	Ilex L.	oligo
Colletidae			Colletes		brevicornis	Colletesbrevicornis	Colletes brevicornis	"Robertson, 1897"	MD-NJ-VA-WV	Uncommon	Spring	"Campanula L., Triodanis Raf. ex Greene"	poly
Colletidae			Colletes		brimleyi	Colletesbrimleyi	Colletes brimleyi	"Mitchell, 1951"	NJ	Rare	Spring	Ilex L.	oligo
Colletidae			Colletes		compactus	Colletescompactus	Colletes compactus	"Cresson, 1868"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common	Fall	Asteraceae	poly
Colletidae			Colletes		latitarsis	Colleteslatitarsis	Colletes latitarsis	"Robertson, 1891"	CT-MA-MD-ME-NJ-NY-PA-VA-WV	Uncommon	Summer	Physalis L.	oligo
Colletidae			Colletes		productus	Colletesproductus	Colletes productus	"Robertson, 1891"	CT-MA-MD-NH-NJ-VA-WV	Uncommon-Rare	Summer	"Lyonia Nutt., Vaccinium L."	poly
Colletidae			Colletes		simulans	Colletessimulans	Colletes simulans	"Cresson, 1868"	CT-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common	Fall	"Euthamia Nutt. ex Cass. , Solidago L., Symphyotrichum Nees"	poly
Colletidae			Colletes		solidaginis	Colletessolidaginis	Colletes solidaginis	"Swenk, 1906"	CT-MA-MD-NH-NJ-NY-VA-VT	Uncommon-Rare	Fall	Solidago L.	oligo
Colletidae			Colletes		speculiferus	Colletesspeculiferus	Colletes speculiferus	"Cockerell, 1927"	CT-DE-MA-MD-NJ-NY-RI-VA	Uncommon	Fall	"Asteraceae, e.g. Astereae"	poly
Colletidae			Colletes		thysanellae	Colletesthysanellae	Colletes thysanellae	"Mitchell, 1951"	VA	Rare	Fall	"Asteraceae, e.g. Astereae"	poly
Colletidae			Colletes		validus	Colletesvalidus	Colletes validus	"Cresson, 1868"	CT-DE-MA-ME-MD-NH-NJ-NY-PA-RI-VA	Uncommon	Spring	"Ericaceae, e.g. Vaccinium L."	poly
Colletidae			Colletes		willistoni	Colleteswillistoni	Colletes willistoni	"Robertson, 1891"	MD-NJ-NY-PA-VA	Rare	Summer	Physalis L.	oligo
